name,postcode,address,opened_at,team_id
東京ドーム,112-0004,東京都文京区後楽1-3-61,1988-03,1
阪神甲子園球場,663-8152,兵庫県西宮市甲子園町1-82,1924-08,2
横浜スタジアム,231-0022,神奈川県横浜市中区横浜公園,1978-03,3
MAZDA Zoom-Zoom スタジアム広島,732-0803,広島県広島市南区南蟹屋2-3-1,2009-03,4
明治神宮野球場,160-0013,東京都新宿区霞ヶ丘町3-1,1926-10,5
バンテリンドーム ナゴヤ,461-0047,愛知県名古屋市東区大幸南1-1-1,1997-03,6
みずほPayPayドーム福岡,810-8660,福岡県福岡市中央区地行浜2-2-2,1993-04,7
エスコンフィールドHOKKAIDO,061-1116,北海道北広島市Fビレッジ1番地,2023-03,8
ZOZOマリンスタジアム,261-0022,千葉県千葉市美浜区美浜1,1990-02,9
楽天モバイルパーク宮城,983-0045,宮城県仙台市宮城野区宮城野2-11-6,1950-05,10
京セラドーム大阪,550-0023,大阪府大阪市西区千代崎3-中2-1,1997-03,11
ベルーナドーム,359-1153,埼玉県所沢市上山口2135,1979-04,12