id,name,founded_at,logo_filename,color,league
1,読売ジャイアンツ,1934-12-26,logo_g_l.gif,#EF8200,cl
2,阪神タイガース,1935-12-10,logo_t_l.gif,#FFDD00,cl
3,横浜DeNAベイスターズ,1949-11-22,logo_db_l.gif,#0096E0,cl
4,広島東洋カープ,1949-12-05,logo_c_l.gif,#C10016,cl
5,東京ヤクルトスワローズ,1950-01-12,logo_s_l.gif,#1A854F,cl
6,中日ドラゴンズ,1936-01-15,logo_d_l.gif,#104F8F,cl
7,福岡ソフトバンクホークス,1938-02-22,logo_h_l.gif,#FFB300,pl
8,北海道日本ハムファイターズ,1945-11-06,logo_f_l.gif,#00558C,pl
9,千葉ロッテマリーンズ,1949-11-26,logo_m_l.gif,#818181,pl
10,東北楽天ゴールデンイーグルス,2004-11-02,logo_e_l.gif,#940028,pl
11,オリックス・バファローズ,1936-01-23,logo_b_l.gif,#43469C,pl
12,埼玉西武ライオンズ,1949-11-26,logo_l_l.gif,#213258,pl